OccurId	ProgId	IfColumn	ThenColumn	ElseColumn	EndIfColumn	IfNestingLevel	NumberOfStatementsInThenBlock	FirstThenStatementOccurId	LastThenStatementOccurId	NumberOfStatementsInElseBlock	FirstElseStatementOccurId	LastElseStatementOccurId
19	1	12			12	0	3	20	22	0			
28	1	12			12	0	2	29	30	0			
40	1	12			12	0	1	41	41	0			
69	1	12	28		12	0	1	70	70	0			
70	1	14	31	14	14	1	2	71	72	2	73	74	
44	1	12		12	12	0	2	45	46	1	47	47	
49	1	12		12	12	0	2	50	51	3	55	60	
51	1	14			14	1	3	52	54	0			
56	1	14			14	1	3	57	59	0			
