OccurID	ProgramID	ReadResourceType	ReadResourceID	WrittenResourceType	WrittenResourceID
50	1	4	132	187	1	
50	1	4	162	187	2	
50	1	4	163	187	3	
50	1	4	164	187	4	
50	1	4	165	187	5	
50	1	4	166	187	6	
50	1	4	167	187	7	
50	1	4	169	187	9	
50	1	4	170	187	8	
50	1	4	171	187	10	
55	1	82	17	187	1	
55	1	4	162	187	2	
55	1	4	163	187	3	
55	1	4	164	187	4	
55	1	4	165	187	5	
55	1	4	166	187	6	
55	1	4	167	187	7	
55	1	4	169	187	9	
55	1	4	170	187	8	
55	1	4	171	187	10	
