2025-03-25 06:53:41.247 [main] INFO  AUGEN: DataDecoder:getSolution():checkSatisfiability():434ms7us800ns
2025-03-25 06:53:42.325 [main] INFO  AUGEN: DataDecoder:getSolution():GenerateByteSymbolBinaryRawData:1s77ms989us
2025-03-25 06:53:42.425 [main] INFO  AUGEN: DataDecoder:constructor:DataItemMapping.newInstance():61ms10us
2025-03-25 06:53:42.428 [main] INFO  AUGEN: DataDecoder:constructor:createMaps():996us800ns
2025-03-25 06:53:42.461 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():genItemInputDataMap():32ms997us400ns
2025-03-25 06:53:42.465 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PostProcess:3ms3us900ns
2025-03-25 06:53:42.465 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():TestInputSpecification.make():0[ps]
2025-03-25 06:53:42.466 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PreProcess:996us100ns
2025-03-25 06:53:42.575 [main] INFO  AUGEN: DataDecoder:getSolution():makeSolverInput():72ms2us600ns
2025-03-25 06:53:42.608 [main] INFO  AUGEN: DataDecoder:getSolution():ConstraintSolverUtil.createSolver():29ms1us100ns
2025-03-25 06:53:43.257 [main] INFO  AUGEN: DataDecoder:getSolution():checkSatisfiability():647ms997us200ns
2025-03-25 06:53:44.545 [main] INFO  AUGEN: DataDecoder:getSolution():GenerateByteSymbolBinaryRawData:1s288ms43us900ns
2025-03-25 06:53:44.707 [main] INFO  AUGEN: DataDecoder:constructor:DataItemMapping.newInstance():35ms
2025-03-25 06:53:44.788 [main] INFO  AUGEN: DataDecoder:constructor:createMaps():79ms988us700ns
2025-03-25 06:53:44.824 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():genItemInputDataMap():34ms7us900ns
2025-03-25 06:53:44.829 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PostProcess:5ms5us400ns
2025-03-25 06:53:44.830 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():TestInputSpecification.make():0[ps]
2025-03-25 06:53:44.831 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PreProcess:1ms13us500ns
2025-03-25 06:53:44.942 [main] INFO  AUGEN: DataDecoder:getSolution():makeSolverInput():88ms5us900ns
2025-03-25 06:53:44.978 [main] INFO  AUGEN: DataDecoder:getSolution():ConstraintSolverUtil.createSolver():33ms994us400ns
2025-03-25 06:53:46.157 [main] INFO  AUGEN: DataDecoder:getSolution():checkSatisfiability():1s179ms7us
2025-03-25 06:53:46.346 [main] INFO  AUGEN: DataDecoder:getSolution():GenerateByteSymbolBinaryRawData:186ms985us500ns
2025-03-25 06:53:46.395 [main] INFO  AUGEN: DataDecoder:constructor:DataItemMapping.newInstance():22ms999us300ns
2025-03-25 06:53:46.398 [main] INFO  AUGEN: DataDecoder:constructor:createMaps():1ms999us100ns
2025-03-25 06:53:46.460 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():genItemInputDataMap():60ms13us700ns
