2025-03-19 06:22:26.986 [main] INFO  AUGEN: Program-id: RACUST1
2025-03-19 06:22:27.025 [main] INFO  AUGEN: generateIR(): Section: MAINLINE, Paragraph: Obtain-CUSTOMER-Number
2025-03-19 06:22:28.452 [main] INFO  AUGEN: Run SymbolicExecution : start
2025-03-19 06:22:29.342 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():9ms16us
2025-03-19 06:22:29.374 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():30ms998us500ns
2025-03-19 06:22:29.970 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():594ms13us200ns
2025-03-19 06:22:30.319 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():0[ps]
2025-03-19 06:22:30.348 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():26ms991us
2025-03-19 06:22:30.466 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():116ms995us200ns
2025-03-19 06:22:30.468 [main] INFO  AUGEN: Run SymbolicExecution : finished
2025-03-19 06:22:30.572 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PreProcess:7ms1us900ns
2025-03-19 06:22:31.341 [main] INFO  AUGEN: DataDecoder:getSolution():makeSolverInput():326ms996us100ns
2025-03-19 06:22:31.419 [main] INFO  AUGEN: DataDecoder:getSolution():ConstraintSolverUtil.createSolver():75ms980us900ns
2025-03-19 06:22:31.495 [main] INFO  AUGEN: DataDecoder:getSolution():checkSatisfiability():71ms991us200ns
2025-03-19 06:22:31.879 [main] INFO  AUGEN: DataDecoder:getSolution():GenerateByteSymbolBinaryRawData:380ms4us400ns
2025-03-19 06:22:32.012 [main] INFO  AUGEN: DataDecoder:constructor:DataItemMapping.newInstance():64ms997us
2025-03-19 06:22:32.016 [main] INFO  AUGEN: DataDecoder:constructor:createMaps():3ms5us600ns
2025-03-19 06:22:32.044 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():genItemInputDataMap():26ms3us400ns
2025-03-19 06:22:32.053 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PostProcess:6ms983us700ns
2025-03-19 06:22:32.054 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():TestInputSpecification.make():0[ps]
2025-03-19 06:22:32.057 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PreProcess:1ms982us600ns
2025-03-19 06:22:32.125 [main] INFO  AUGEN: DataDecoder:getSolution():makeSolverInput():48ms14us300ns
2025-03-19 06:22:32.152 [main] INFO  AUGEN: DataDecoder:getSolution():ConstraintSolverUtil.createSolver():25ms995us500ns
2025-03-19 06:22:32.219 [main] INFO  AUGEN: DataDecoder:getSolution():checkSatisfiability():65ms1us700ns
2025-03-19 06:22:32.411 [main] INFO  AUGEN: DataDecoder:getSolution():GenerateByteSymbolBinaryRawData:192ms2us
2025-03-19 06:22:32.450 [main] INFO  AUGEN: DataDecoder:constructor:DataItemMapping.newInstance():15ms15us800ns
2025-03-19 06:22:32.451 [main] INFO  AUGEN: DataDecoder:constructor:createMaps():1ms13us300ns
2025-03-19 06:22:32.474 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():genItemInputDataMap():23ms8us900ns
2025-03-19 06:22:32.477 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():PostProcess:2ms2us300ns
2025-03-19 06:22:32.477 [main] INFO  AUGEN: TestInputSpecification:makeTestInput():TestInputSpecification.make():0[ps]
2025-03-19 06:22:33.031 [main] INFO  AUGEN: generateIR(): Section: MAINLINE, Paragraph: INSERT-CUSTOMER
2025-03-19 06:22:33.198 [main] INFO  AUGEN: Run SymbolicExecution : start
2025-03-19 06:22:33.471 [main] INFO  AUGEN: SimpleAssertionCollector:test():makeSolverInput():0[ps]
2025-03-19 06:22:33.473 [main] INFO  AUGEN: SimpleAssertionCollector:test():ConstraintSolverUtil.createSolver():1ms8us800ns
2025-03-19 06:22:33.557 [main] INFO  AUGEN: SimpleAssertionCollector:test():checkSatisfiability():83ms16us600ns
